time_s,theta_deg,m1_counts,m2_counts
0.0,0.0,0,0
0.011,0.0,0,0
0.024,0.0,0,0
0.034,0.0,0,0
0.044,0.0,0,0
0.054,0.0,0,0
0.065,0.0,0,0
0.076,0.0,0,0
0.087,0.0,0,0
0.1,0.0,0,0
0.111,0.0,0,0
0.124,0.0,0,0
0.134,0.0,0,0
0.144,0.0,0,0
0.154,0.0,0,0
0.165,0.0,0,0
0.176,0.0,0,0
0.187,0.0,0,0
0.2,0.0,0,0
0.211,0.0,0,0
0.224,0.0,0,0
0.235,0.0,0,0
0.247,0.0,0,0
0.257,0.0,0,0
0.267,0.0,0,0
0.277,0.0,0,0
0.287,0.0,0,0
0.3,0.0,0,0
0.311,0.0,0,0
0.324,0.0,0,0
0.335,0.0,0,0
0.347,0.0,0,0
0.357,0.0,0,0
0.367,0.0,0,0
0.377,0.0,0,0
0.387,0.0,0,0
0.397,0.0,0,0
0.407,0.0,0,0
0.417,0.0,0,0
0.427,0.0,0,0
0.437,0.0,0,0
0.447,0.0,0,0
0.457,0.0,0,0
0.467,0.0,0,0
0.477,0.0,0,0
0.487,0.0,0,0
0.497,0.0,0,0
0.507,0.0,0,0
0.517,0.0,0,0
0.527,0.0,0,0
0.537,0.0,0,0
0.547,0.0,0,0
0.557,0.0,0,0
0.568,0.0,0,0
0.581,0.0,0,0
0.591,0.0,0,0
0.601,0.0,0,0
0.611,0.0,0,0
0.624,0.0,0,0
0.635,0.0,0,0
0.647,0.0,0,0
0.657,0.0,0,0
0.668,0.0,0,0
0.681,0.0,0,0
0.691,0.0,0,0
0.701,0.0,0,0
0.711,0.0,0,0
0.724,0.0,0,0
0.735,0.0,0,0
0.747,0.0,0,0
0.757,0.0,0,0
0.768,0.0,0,0
0.781,0.0,0,0
0.791,0.0,0,0
0.805,0.0,0,0
0.815,0.0,0,0
0.825,0.0,0,0
0.835,0.0,0,0
0.847,0.0,0,0
0.858,0.0,0,0
0.868,0.0,0,0
0.881,0.0,0,0
0.891,0.0,0,0
0.901,0.0,0,0
0.911,0.0,0,0
0.925,0.0,0,0
0.935,0.0,0,0
0.947,0.0,0,5
0.958,0.0,0,19
0.968,0.0,0,40
0.978,0.0,0,64
0.988,0.0,0,96
1.0,0.0237,0,136
1.012,0.0893,0,184
1.023,0.1463,0,230
1.035,0.1889,0,281
1.046,0.2127,0,334
1.058,0.236,0,389
1.068,0.254,0,440
1.079,0.2839,0,495
1.091,0.3054,0,560
1.103,0.3201,0,621
1.115,0.3161,0,689
1.127,0.3073,0,751
1.138,0.3048,0,815
1.149,0.2873,0,879
1.161,0.2616,0,946
1.173,0.2744,0,1018
1.185,0.2778,0,1084
1.196,0.2597,0,1153
1.207,0.2516,0,1220
1.218,0.2562,0,1284
1.229,0.2686,0,1349
1.241,0.2759,0,1426
1.253,0.2912,0,1496
1.265,0.3079,0,1573
1.277,0.331,0,1643
1.288,0.3587,0,1714
1.3,0.389,0,1786
1.311,0.4043,0,1859
1.323,0.4405,0,1937
1.335,0.4859,0,2010
1.346,0.5167,0,2083
1.358,0.5518,0,2157
1.368,0.5831,0,2222
1.379,0.6177,0,2291
1.389,0.6786,0,2361
1.401,0.7276,0,2435
1.412,0.7846,0,2511
1.423,0.857,0,2579
1.433,0.9277,0,2649
1.444,0.9744,0,2717
1.455,1.0291,0,2789
1.467,1.1092,0,2869
1.479,1.1945,0,2949
1.489,1.2889,0,3017
1.5,1.3935,0,3092
1.512,1.5008,0,3169
1.525,1.6296,0,3257
1.536,1.732,0,3330
1.547,1.8645,0,3404
1.558,1.9902,0,3479
1.568,2.0815,0,3547
1.578,2.1722,0,3615
1.589,2.2668,0,3687
1.6,2.4073,0,3765
1.612,2.5146,0,3843
1.625,2.6287,0,3934
1.636,2.7122,0,4008
1.647,2.8202,0,4083
1.658,2.9243,0,4161
1.668,3.0088,0,4231
1.678,3.1,0,4299
1.689,3.1892,0,4370
1.699,3.2526,0,4437
1.711,3.3821,0,4521
1.725,3.5187,0,4618
1.736,3.6117,0,4692
1.747,3.7122,0,4767
1.758,3.8014,0,4845
1.769,3.8769,0,4914
1.782,4.0028,0,5006
1.792,4.0922,0,5078
1.804,4.2087,0,5157
1.815,4.3045,0,5233
1.825,4.3877,0,5304
1.836,4.475,0,5378
1.847,4.5845,0,5454
1.859,4.6888,0,5533
1.869,4.7732,0,5603
1.879,4.8555,0,5671
1.889,4.9366,0,5743
1.9,5.0699,0,5823
1.912,5.1729,0,5904
1.925,5.2882,0,5993
1.936,5.3789,0,6069
1.947,5.4831,0,6147
1.959,5.5859,0,6227
1.971,5.705,0,6309
1.982,5.7915,0,6389
1.992,5.8811,0,6462
2.004,5.9953,0,6543
2.015,6.0865,0,6619
2.025,6.1703,0,6687
2.036,6.2584,0,6766
2.047,6.3649,0,6844
2.059,6.4684,0,6924
2.071,6.5815,0,7008
2.082,6.6657,0,7088
2.093,6.7531,0,7162
2.104,6.8657,0,7243
2.115,6.9489,0,7319
2.125,7.0266,0,7387
2.136,7.1098,0,7465
2.147,7.207,0,7544
2.159,7.3043,0,7623
2.171,7.4137,0,7708
2.182,7.4932,0,7787
2.192,7.5688,0,7858
2.204,7.6687,0,7940
2.215,7.7557,0,8019
2.227,7.8515,0,8107
2.239,7.9347,0,8185
2.25,8.0536,0,8267
2.261,8.1414,0,8346
2.274,8.2412,0,8435
2.284,8.3167,0,8508
2.295,8.4047,0,8579
2.305,8.4947,0,8656
2.315,8.5658,0,8720
2.325,8.5791,0,8796
2.335,8.6873,0,8865
2.345,8.7978,0,8933
2.356,8.9158,0,9012
2.369,9.0049,0,9098
2.381,9.1111,0,9187
2.392,9.1915,0,9258
2.404,9.2837,0,9341
2.415,9.3893,0,9420
2.427,9.4967,0,9508
2.439,9.5751,0,9587
2.45,9.6681,0,9669
2.462,9.7866,0,9748
2.475,9.904,0,9843
2.486,9.9921,0,9915
2.497,10.0925,0,9998
2.507,10.1737,0,10063
2.517,10.2479,0,10134
2.527,10.3311,0,10204
2.537,10.4189,0,10279
2.547,10.523,0,10343
2.557,10.6179,0,10420
2.567,10.6859,0,10489
2.577,10.7682,0,10558
2.587,10.8668,0,10631
2.597,10.9613,0,10696
2.607,11.0517,0,10772
2.618,11.1353,0,10847
2.628,11.2175,0,10913
2.638,11.3022,0,10990
2.65,11.4018,0,11073
2.661,11.527,0,11152
2.671,11.6173,0,11218
2.681,11.7024,0,11292
2.692,11.7865,0,11366
2.704,11.883,0,11449
2.715,11.9898,0,11529
2.728,12.0935,0,11620
2.739,12.1794,0,11696
2.751,12.273,0,11780
2.762,12.3887,0,11860
2.775,12.4986,0,11951
2.785,12.5848,0,12023
2.795,12.6712,0,12095
2.806,12.7625,0,12172
2.819,12.858,0,12261
2.832,12.9818,0,12352
2.842,13.0681,0,12429
2.854,13.1663,0,12513
2.865,13.2691,0,12591
2.875,13.3483,0,12658
2.885,13.4308,0,12731
2.895,13.5148,0,12802
2.906,13.6062,0,12882
2.919,13.7105,0,12969
2.932,13.8238,0,13061
2.942,13.9066,0,13137
2.954,14.0002,0,13221
2.965,14.1025,0,13300
2.975,14.1832,0,13368
2.985,14.2619,0,13439
2.995,14.3476,0,13511
3.007,14.4372,0,13591
3.019,14.5318,0,13679
3.032,14.6541,0,13770
3.042,14.7353,0,13845
3.054,14.8243,0,13930
3.065,14.9282,0,14008
3.075,15.0112,0,14075
3.085,15.0942,0,14148
3.095,15.1758,0,14219
3.107,15.2618,0,14299
3.119,15.3615,0,14387
3.132,15.4823,0,14480
3.142,15.578,0,14552
3.154,15.6822,0,14633
3.164,15.7696,0,14709
3.174,15.8432,0,14778
3.185,15.9291,0,14854
3.195,16.0362,0,14928
3.206,16.1428,0,15004
3.219,16.2452,0,15095
3.229,16.3149,0,15164
3.239,16.4083,0,15236
3.25,16.5125,0,15320
3.262,16.6023,0,15399
3.272,16.6877,0,15469
3.282,16.8015,0,15544
3.292,16.8947,0,15617
3.305,16.9907,0,15703
3.316,17.0942,0,15783
3.329,17.1813,0,15874
3.339,17.2653,0,15947
3.351,17.3617,0,16030
3.362,17.448,0,16109
3.372,17.5194,0,16180
3.382,17.6203,0,16254
3.392,17.7094,0,16327
3.405,17.8006,0,16414
3.416,17.8979,0,16492
3.429,17.985,0,16585
3.439,18.0717,0,16657
3.45,18.1742,0,16739
3.462,18.2709,0,16818
3.472,18.3464,0,16888
3.482,18.4444,0,16964
3.492,18.5331,0,17037
3.504,18.6308,0,17120
3.516,18.7466,0,17202
3.529,18.849,0,17296
3.539,18.9499,0,17368
3.551,19.0693,0,17450
3.561,19.1746,0,17526
3.571,19.2599,0,17594
3.584,19.3972,0,17687
3.596,19.5203,0,17773
3.608,19.6275,0,17854
3.62,19.7433,0,17940
3.633,19.8694,0,18031
3.643,19.9726,0,18103
3.654,20.082,0,18180
3.664,20.1744,0,18254
3.675,20.2897,0,18329
3.686,20.3892,0,18409
3.696,20.4775,0,18480
3.706,20.5784,0,18554
3.717,20.6659,0,18631
3.729,20.7724,0,18718
3.739,20.867,0,18789
3.75,20.9759,0,18866
3.761,21.0749,0,18940
3.773,21.1911,0,19025
3.783,21.274,0,19097
3.793,21.3624,0,19169
3.804,21.4588,0,19249
3.816,21.5475,0,19331
3.826,21.6279,0,19401
3.836,21.7271,0,19473
3.846,21.815,0,19545
3.857,21.8995,0,19620
3.867,21.9799,0,19692
3.879,22.0761,0,19782
3.89,22.158,0,19854
3.901,22.244,0,19935
3.912,22.3194,0,20012
3.924,22.4253,0,20099
3.934,22.502,0,20166
3.946,22.5987,0,20255
3.957,22.6772,0,20330
3.967,22.7521,0,20402
3.98,22.8237,0,20492
3.992,22.9165,0,20578
4.003,23.0118,0,20659
4.014,23.1253,0,20738
4.025,23.2201,0,20815
4.036,23.3343,0,20894
4.046,23.4231,0,20965
4.057,23.5268,0,21040
4.067,23.6252,0,21112
4.078,23.718,0,21191
4.089,23.8204,0,21271
4.101,23.9224,0,21352
4.112,24.0239,0,21429
4.123,24.152,0,21511
4.134,24.2574,0,21588
4.146,24.3673,0,21675
4.157,24.4734,0,21749
4.167,24.571,0,21822
4.178,24.6718,0,21902
4.189,24.778,0,21982
4.201,24.8754,0,22063
4.212,24.9775,0,22144
4.223,25.0586,0,22216
4.233,25.1583,0,22292
4.245,25.2844,0,22376
4.256,25.3868,0,22455
4.267,25.4903,0,22531
4.278,25.5887,0,22610
4.289,25.6909,0,22687
4.3,25.7881,0,22767
4.311,25.8867,0,22844
4.321,25.9637,0,22912
4.332,26.0464,0,22990
4.343,26.1405,0,23073
4.355,26.2482,0,23153
4.365,26.3361,0,23227
4.376,26.4235,0,23308
4.387,26.5158,0,23380
4.397,26.5874,0,23452
4.407,26.6867,0,23525
4.418,26.7718,0,23602
4.43,26.8624,0,23689
4.44,26.9411,0,23760
4.452,27.031,0,23843
4.462,27.1159,0,23918
4.474,27.2153,0,24000
4.484,27.2919,0,24071
4.494,27.3493,0,24143
4.505,27.4521,0,24219
4.516,27.5332,0,24296
4.527,27.6286,0,24375
4.537,27.7041,0,24446
4.547,27.7821,0,24518
4.557,27.8677,0,24593
4.568,27.946,0,24666
4.58,28.0253,0,24754
4.59,28.1084,0,24823
4.602,28.1958,0,24908
4.613,28.2884,0,24990
4.623,28.3621,0,25058
4.634,28.4341,0,25136
4.644,28.5328,0,25209
4.655,28.6277,0,25288
4.665,28.7055,0,25360
4.677,28.7881,0,25440
4.687,28.8796,0,25512
4.697,28.9482,0,25584
4.708,29.0493,0,25664
4.72,29.1495,0,25750
4.731,29.2472,0,25828
4.744,29.3382,0,25920
4.756,29.4519,0,26006
4.767,29.5587,0,26083
4.777,29.6253,0,26150
4.787,29.7035,0,26223
4.797,29.7925,0,26294
4.808,29.9045,0,26371
4.82,29.9945,0,26456
4.831,30.0951,0,26536
4.844,30.1876,0,26626
4.856,30.3085,0,26710
4.867,30.4053,0,26791
4.877,30.5018,0,26863
4.888,30.5989,0,26941
4.9,30.7051,0,27023
4.911,30.8016,0,27103
4.921,30.8864,0,27173
4.932,30.9761,0,27252
4.944,31.0606,0,27341
4.956,31.1821,0,27421
4.967,31.2837,0,27500
4.977,31.398,0,27573
4.989,31.499,0,27654
5.0,31.6065,0,27735
5.011,31.7022,0,27814
5.021,31.7883,0,27884
5.033,31.8897,0,27967
5.045,31.995,0,28054
5.057,32.1125,0,28138
5.068,32.2326,0,28215
5.078,32.3382,0,28291
5.09,32.4334,0,28372
5.103,32.5493,0,28464
5.114,32.6592,0,28545
5.126,32.7741,0,28628
5.137,32.8762,0,28707
5.147,32.9612,0,28781
5.158,33.0873,0,28859
5.17,33.1863,0,28943
5.181,33.2892,0,29023
5.192,33.3849,0,29102
5.204,33.488,0,29182
5.215,33.6027,0,29263
5.226,33.6952,0,29343
5.237,33.7869,0,29420
5.248,33.8638,0,29494
5.259,33.975,0,29575
5.271,34.0691,0,29661
5.283,34.1663,0,29744
5.295,34.2701,0,29829
5.306,34.3731,0,29911
5.317,34.4608,0,29989
5.328,34.5596,0,30063
5.34,34.6486,0,30148
5.352,34.7455,0,30236
5.363,34.8347,0,30313
5.375,34.9191,0,30398
5.385,34.9899,0,30470
5.395,35.0645,0,30540
5.407,35.1758,0,30625
5.418,35.2721,0,30704
5.43,35.3545,0,30791
5.441,35.4256,0,30865
5.453,35.5199,0,30955
5.465,35.6189,0,31037
5.475,35.6908,0,31105
5.485,35.7655,0,31178
5.495,35.8399,0,31248
5.507,35.9558,0,31332
5.518,36.049,0,31411
5.528,36.1479,0,31484
5.539,36.2384,0,31564
5.549,36.3194,0,31631
5.56,36.4077,0,31708
5.571,36.4964,0,31787
5.582,36.5972,0,31867
5.593,36.6914,0,31950
5.605,36.7911,0,32035
5.617,36.9029,0,32116
5.628,36.9972,0,32192
5.639,37.1059,0,32270
5.65,37.2169,0,32353
5.662,37.3098,0,32433
5.674,37.3979,0,32519
5.687,37.5215,0,32613
5.698,37.6263,0,32692
5.709,37.7411,0,32772
5.721,37.8491,0,32853
5.733,37.9394,0,32942
5.746,38.0603,0,33034
5.757,38.1493,0,33113
5.768,38.2364,0,33189
5.779,38.3347,0,33270
5.789,38.4131,0,33335
5.8,38.5,0,33418
5.811,38.5971,0,33495
5.823,38.6776,0,33582
5.836,38.7932,0,33672
5.846,38.848,0,33741
5.857,38.9564,0,33817
5.868,39.0359,0,33895
5.878,39.131,0,33972
5.89,39.216,0,34052
5.901,39.31,0,34132
5.912,39.3917,0,34212
5.924,39.4712,0,34296
5.935,39.5636,0,34375
5.947,39.665,0,34460
5.958,39.7611,0,34535
5.969,39.8467,0,34612
5.98,39.944,0,34691
5.99,40.034,0,34767
6.0,40.1213,0,34832
6.01,40.2151,0,34908
6.021,40.3229,0,34984
6.032,40.4183,0,35065
6.046,40.5185,0,35158
6.056,40.6707,0,35235
6.067,40.796,0,35306
6.078,40.9175,0,35388
6.089,41.0446,0,35462
6.1,41.1876,0,35542
6.11,41.3207,0,35617
6.121,41.4755,0,35691
6.132,41.6194,0,35769
6.143,41.7536,0,35850
6.155,41.8927,0,35930
6.166,42.0195,0,36009
6.177,42.1866,0,36084
6.188,42.3318,0,36163
6.199,42.4974,0,36243
6.21,42.6361,0,36321
6.221,42.7592,0,36401
6.231,42.8647,0,36470
6.242,42.9091,0,36544
6.253,42.6501,0,36627
6.264,42.1207,0,36700
6.276,41.877,0,36788
6.287,41.9998,0,36865
6.297,42.0442,0,36932
6.308,42.149,0,37012
6.319,42.248,0,37088
6.33,42.3497,0,37171
6.342,42.4524,0,37256
6.354,42.5604,0,37341
6.366,42.6667,0,37423
6.376,42.7498,0,37490
6.386,42.848,0,37568
6.398,42.9726,0,37648
6.408,43.0705,0,37723
6.419,43.1824,0,37799
6.429,43.2791,0,37866
6.439,43.4063,0,37942
6.449,43.4961,0,38013
6.46,43.6204,0,38091
6.472,43.7436,0,38176
6.484,43.8635,0,38257
6.495,43.9833,0,38334
6.506,44.1029,0,38414
6.517,44.2119,0,38494
6.527,44.3414,0,38566
6.539,44.4503,0,38646
6.55,44.5914,0,38729
6.561,44.7006,0,38804
6.572,44.8123,0,38882
6.583,44.9219,0,38962
6.594,45.0291,0,39043
6.606,45.1334,0,39124
6.617,45.2318,0,39203
6.627,45.3409,0,39278
6.639,45.4292,0,39357
6.65,45.5402,0,39439
6.661,45.6253,0,39514
6.672,45.7125,0,39592
6.683,45.803,0,39672
6.695,45.8801,0,39755
6.706,45.9542,0,39835
6.718,46.0318,0,39918
6.728,46.1253,0,39995
6.738,46.188,0,40063
6.748,46.23,0,40132
6.759,46.3108,0,40209
6.769,46.3811,0,40284
6.78,46.4498,0,40364
6.79,46.505,0,40432
6.8,46.5534,0,40501
6.811,46.6319,0,40579
6.821,46.6942,0,40655
6.834,46.7613,0,40744
6.848,46.8234,0,40843
6.859,46.9156,0,40921
6.869,46.9791,0,40996
6.88,47.0439,0,41076
6.89,47.084,0,41144
6.901,47.1552,0,41227
6.913,47.2217,0,41305
6.925,47.2848,0,41392
6.938,47.3496,0,41484
6.948,47.4037,0,41555
6.959,47.4891,0,41633
6.969,47.5539,0,41708
6.98,47.6308,0,41788
6.99,47.6768,0,41857
7.0,47.7302,0,41924
7.011,47.8061,0,42003
7.021,47.8705,0,42080
7.034,47.9399,0,42168
7.048,48.0031,0,42266
7.059,48.0873,0,42344
7.069,48.1457,0,42421
7.081,48.2186,0,42502
7.092,48.2827,0,42586
7.102,48.3353,0,42652
7.113,48.403,0,42733
7.125,48.4582,0,42818
7.138,48.5418,0,42911
7.148,48.5804,0,42982
7.159,48.659,0,43058
7.169,48.7285,0,43134
7.179,48.7768,0,43198
7.19,48.8381,0,43283
7.2,48.891,0,43352
7.211,48.9679,0,43429
7.222,49.0323,0,43506
7.234,49.1023,0,43594
7.244,49.1557,0,43664
7.256,49.2342,0,43750
7.267,49.3073,0,43827
7.279,49.3886,0,43911
7.289,49.4515,0,43982
7.299,49.5173,0,44055
7.309,49.5937,0,44130
7.319,49.638,0,44196
7.329,49.7379,0,44273
7.34,49.8076,0,44350
7.35,49.8633,0,44422
7.361,49.9527,0,44498
7.372,50.0334,0,44573
7.384,50.1172,0,44660
7.397,50.1866,0,44750
7.408,50.2568,0,44834
7.419,50.3478,0,44912
7.429,50.41,0,44979
7.439,50.4782,0,45051
7.449,50.5513,0,45124
7.46,50.6396,0,45201
7.471,50.7273,0,45281
7.482,50.8018,0,45356
7.493,50.8779,0,45433
7.505,50.9682,0,45523
7.517,51.0422,0,45610
7.529,51.1337,0,45689
7.54,51.239,0,45768
7.551,51.3423,0,45852
7.561,51.414,0,45917
7.572,51.5142,0,45995
7.585,51.5883,0,46089
7.595,51.6631,0,46160
7.608,51.7399,0,46254
7.619,51.8436,0,46334
7.631,51.9345,0,46414
7.641,52.0374,0,46491
7.652,52.1145,0,46564
7.663,52.1852,0,46644
7.675,52.2688,0,46731
7.687,52.3048,0,46814
7.699,52.4294,0,46900
7.71,52.5466,0,46975
7.721,52.6466,0,47057
7.731,52.7118,0,47122
7.741,52.7929,0,47196
7.752,52.8604,0,47269
7.763,52.9556,0,47347
7.774,53.0365,0,47425
7.785,53.1247,0,47506
7.798,53.198,0,47594
7.809,53.2688,0,47675
7.82,53.3666,0,47751
7.832,53.4631,0,47832
7.842,53.5399,0,47903
7.852,53.6116,0,47975
7.864,53.6936,0,48057
7.875,53.7846,0,48139
7.886,53.8486,0,48214
7.896,53.9213,0,48283
7.909,54.0065,0,48377
7.92,54.1021,0,48454
7.93,54.1838,0,48526
7.94,54.2505,0,48595
7.95,54.3244,0,48667
7.962,54.4063,0,48748
7.972,54.4888,0,48824
7.982,54.5413,0,48891
7.992,54.6177,0,48963
8.002,54.6876,0,49035
8.012,54.7441,0,49101
8.022,54.8305,0,49179
8.032,54.8838,0,49244
8.042,54.9605,0,49316
8.052,55.0326,0,49388
8.062,55.0885,0,49455
8.072,55.1769,0,49531
8.082,55.2326,0,49598
8.092,55.2994,0,49670
8.102,55.3839,0,49742
8.112,55.4468,0,49808
8.123,55.5367,0,49885
8.137,55.6119,0,49985
8.147,55.6985,0,50057
8.16,55.7886,0,50147
8.17,55.8918,0,50223
8.18,55.9406,0,50291
8.19,56.0307,0,50363
8.2,56.1094,0,50435
8.21,56.1693,0,50500
8.22,56.2503,0,50576
8.231,56.3498,0,50651
8.242,56.4475,0,50733
8.253,56.5188,0,50804
8.264,56.6031,0,50885
8.275,56.684,0,50960
8.288,56.7709,0,51054
8.301,56.8918,0,51144
8.312,56.9899,0,51224
8.323,57.0814,0,51303
8.337,57.1646,0,51400
8.347,57.2433,0,51471
8.36,57.3527,0,51561
8.37,57.4374,0,51638
8.38,57.4855,0,51702
8.391,57.6041,0,51780
8.401,57.6791,0,51851
8.412,57.7757,0,51932
8.423,57.8774,0,52010
8.434,57.9699,0,52088
8.447,58.0721,0,52183
8.46,58.178,0,52270
8.471,58.2592,0,52346
8.481,58.3701,0,52417
8.492,58.4643,0,52497
8.502,58.5483,0,52569
8.513,58.654,0,52645
8.524,58.7581,0,52726
8.536,58.8553,0,52806
8.548,58.9642,0,52896
8.56,59.0697,0,52978
8.571,59.1722,0,53054
8.581,59.2828,0,53126
8.591,59.3318,0,53196
8.603,59.4305,0,53278
8.613,59.5775,0,53354
8.623,59.6554,0,53418
8.633,59.7692,0,53491
8.644,59.871,0,53566
8.657,59.9754,0,53657
8.668,60.0655,0,53735
8.68,60.1663,0,53820
8.691,60.256,0,53895
8.701,60.3336,0,53967
8.712,60.4542,0,54045
8.723,60.552,0,54122
8.733,60.6506,0,54193
8.744,60.736,0,54272
8.754,60.814,0,54336
8.765,60.9016,0,54415
8.775,60.9961,0,54489
8.787,61.0798,0,54567
8.8,61.1628,0,54661
8.811,61.2735,0,54739
8.821,61.3244,0,54807
8.832,61.4325,0,54883
8.843,61.5168,0,54961
8.853,61.5851,0,55036
8.865,61.6793,0,55116
8.877,61.7578,0,55203
8.888,61.8209,0,55280
8.901,61.9024,0,55373
8.912,62.0046,0,55451
8.923,62.086,0,55529
8.933,62.1498,0,55596
8.943,62.216,0,55670
8.954,62.2849,0,55744
8.965,62.3719,0,55824
8.977,62.4525,0,55906
8.988,62.5125,0,55984
8.998,62.5772,0,56056
9.011,62.6621,0,56145
9.022,62.7556,0,56223
9.033,62.8271,0,56301
9.043,62.8903,0,56377
9.054,62.9555,0,56451
9.065,63.0369,0,56530
9.077,63.1091,0,56616
9.088,63.1728,0,56694
9.098,63.2324,0,56766
9.11,63.3143,0,56851
9.122,63.3917,0,56929
9.133,63.4805,0,57009
9.144,63.5414,0,57085
9.154,63.6009,0,57158
9.165,63.6843,0,57236
9.176,63.7563,0,57312
9.189,63.836,0,57407
9.199,63.8838,0,57476
9.211,63.9509,0,57559
9.222,64.0177,0,57638
9.233,64.0956,0,57718
9.243,64.1541,0,57791
9.254,64.2155,0,57866
9.265,64.2929,0,57944
9.276,64.3508,0,58020
9.29,64.4004,0,58119
9.302,64.4574,0,58207
9.313,64.5386,0,58283
9.324,64.6047,0,58361
9.336,64.6796,0,58445
9.35,64.7588,0,58548
9.361,64.8284,0,58627
9.372,64.9022,0,58704
9.383,64.9889,0,58784
9.394,65.0508,0,58859
9.404,65.1135,0,58931
9.416,65.1931,0,59012
9.426,65.2601,0,59086
9.439,65.3352,0,59180
9.449,65.3885,0,59249
9.461,65.4615,0,59332
9.472,65.535,0,59408
9.482,65.625,0,59484
9.492,65.6718,0,59554
9.502,65.7333,0,59626
9.513,65.8247,0,59703
9.524,65.8982,0,59783
9.535,65.9762,0,59860
9.545,66.0423,0,59927
9.555,66.0952,0,59997
9.565,66.1757,0,60073
9.576,66.2453,0,60150
9.59,66.3191,0,60250
9.6,66.3885,0,60316
9.611,66.4607,0,60398
9.622,66.5447,0,60478
9.633,66.6292,0,60557
9.644,66.6931,0,60633
9.655,66.7606,0,60707
9.665,66.8485,0,60783
9.676,66.9219,0,60860
9.687,66.9883,0,60939
9.7,67.0656,0,61032
9.712,67.1474,0,61114
9.723,67.2314,0,61194
9.734,67.2999,0,61274
9.745,67.378,0,61352
9.756,67.4333,0,61424
9.766,67.5143,0,61500
9.776,67.5796,0,61572
9.788,67.6437,0,61655
9.799,67.7071,0,61733
9.811,67.7772,0,61819
9.822,67.8441,0,61899
9.832,67.8966,0,61968
9.842,67.9648,0,62042
9.853,68.0293,0,62114
9.863,68.1123,0,62190
9.874,68.1762,0,62264
9.885,68.2396,0,62342
9.895,68.3005,0,62412
9.905,68.3665,0,62485
9.917,68.4568,0,62568
9.927,68.5371,0,62641
9.939,68.6075,0,62725
9.949,68.6787,0,62801
9.961,68.7565,0,62886
9.972,68.828,0,62960
9.983,68.904,0,63040
9.993,68.9716,0,63111
10.003,69.0356,0,63181
10.014,69.1338,0,63258
10.025,69.2083,0,63340
10.035,69.2677,0,63405
10.045,69.3301,0,63479
10.055,69.3918,0,63554
10.067,69.4769,0,63633
10.077,69.5463,0,63706
10.087,69.6066,0,63780
10.098,69.6725,0,63855
10.108,69.7362,0,63929
10.12,69.8131,0,64014
10.132,69.8776,0,64096
10.143,69.9402,0,64172
10.153,70.0055,0,64247
10.164,70.0986,0,64325
10.175,70.1681,0,64401
10.189,70.2481,0,64500
10.2,70.3088,0,64578
10.212,70.3862,0,64664
10.223,70.475,0,64747
10.233,70.5174,0,64813
10.243,70.571,0,64886
10.253,70.6284,0,64958
10.264,70.721,0,65035
10.275,70.7947,0,65112
10.289,70.8749,0,65211
10.3,70.936,0,65289
10.31,71.0003,0,65357
10.321,71.0762,0,65441
10.333,71.1486,0,65524
10.343,71.2074,0,65596
10.354,71.2691,0,65670
10.364,71.3588,0,65747
10.375,71.4322,0,65824
10.389,71.5125,0,65923
10.4,71.5779,0,66001
10.41,71.6411,0,66069
10.421,71.7225,0,66151
10.433,71.8057,0,66233
10.443,71.8687,0,66306
10.454,71.9367,0,66380
10.465,72.0332,0,66457
10.476,72.121,0,66539
10.486,72.1743,0,66606
10.496,72.2386,0,66679
10.507,72.3081,0,66756
10.518,72.4003,0,66837
10.53,72.4839,0,66921
10.541,72.5394,0,66995
10.551,72.6052,0,67072
10.561,72.6745,0,67139
10.572,72.7649,0,67218
10.583,72.8429,0,67299
10.594,72.914,0,67372
10.604,72.9821,0,67447
10.614,73.0562,0,67513
10.625,73.1668,0,67592
10.636,73.2505,0,67675
10.648,73.3229,0,67753
10.658,73.4091,0,67827
10.669,73.4913,0,67908
10.681,73.5795,0,67989
10.692,73.6458,0,68064
10.702,73.7179,0,68140
10.714,73.8176,0,68222
10.725,73.9208,0,68300
10.737,74.0031,0,68387
10.748,74.087,0,68463
10.758,74.166,0,68538
10.77,74.2535,0,68618
10.781,74.3485,0,68697
10.792,74.4058,0,68774
10.803,74.4716,0,68851
10.814,74.5688,0,68931
10.825,74.6729,0,69009
10.835,74.7459,0,69076
10.845,74.8183,0,69151
10.856,74.8913,0,69224
10.867,74.9933,0,69304
10.877,75.0756,0,69376
10.887,75.1318,0,69444
10.898,75.1997,0,69521
10.908,75.2857,0,69597
10.92,75.3771,0,69681
10.93,75.4697,0,69752
10.941,75.5438,0,69828
10.952,75.6016,0,69905
10.962,75.6683,0,69975
10.973,75.7444,0,70051
10.984,75.8353,0,70131
10.995,75.9481,0,70208
11.005,76.0377,0,70280
11.017,76.1411,0,70366
11.027,76.2498,0,70437
11.037,76.3252,0,70507
11.048,76.42,0,70585
11.059,76.5397,0,70659
11.07,76.6581,0,70740
11.084,76.8046,0,70835
11.094,76.9,0,70908
11.104,77.0041,0,70977
11.115,77.1335,0,71054
11.126,77.2897,0,71134
11.14,77.434,0,71232
11.151,77.542,0,71308
11.161,77.6504,0,71378
11.171,77.79,0,71452
11.182,77.9163,0,71528
11.193,78.0141,0,71607
11.204,78.1478,0,71678
11.215,78.2939,0,71756
11.225,78.4452,0,71832
